Rifampin	B
and	O
warfarin	B
:	O
a	O
drug	O
interaction	O
.	O

The	O
drug	O
interaction	O
between	O
warfarin	B
and	O
rifampin	B
is	O
not	O
well	O
known	O
.	O

Rifampin	B
has	O
been	O
reported	O
to	O
increase	O
the	O
warfarin	B
requirements	O
in	O
human	O
subjects	O
ingesting	O
these	O
agents	O
simultaneously	O
.	O

The	O
concomitant	O
administration	O
of	O
rifampin	B
and	O
warfarin	B
resulted	O
in	O
the	O
need	O
for	O
an	O
unusually	O
high	O
maintenance	O
dose	O
of	O
warfarin	B
(	O
20	O
mg	O
per	O
day	O
)	O
in	O
order	O
to	O
produce	O
a	O
therapeutic	O
effect	O
.	O

Withdrawal	O
of	O
rifampin	B
decreased	O
the	O
warfarin	B
requirement	O
by	O
50	O
%	O
.	O

This	O
effect	O
may	O
be	O
mediated	O
by	O
the	O
ability	O
of	O
rifampin	B
to	O
induce	O
microsomal	O
enzymes	O
and	O
,	O
thus	O
,	O
the	O
catabolism	O
of	O
warfarin	B
.	O

The	O
effect	O
of	O
rifampin	B
on	O
the	O
warfarin	B
requirement	O
of	O
our	O
patient	O
appeared	O
to	O
be	O
maximal	O
5	O
to	O
7	O
days	O
after	O
the	O
initiation	O
of	O
rifampin	B
and	O
extended	O
a	O
similar	O
length	O
of	O
time	O
after	O
rifampin	B
withdrawal	O
.	O

To	O
study	O
the	O
pancreatic	O
effects	O
of	O
other	O
agents	O
,	O
dynamic	O
insulin	O
and	O
glucagon	O
release	O
was	O
measured	O
from	O
the	O
in	O
vitro	O
perfused	O
pancreases	O
of	O
normal	O
and	O
diabetic	O
Chinese	O
hamsters	O
in	O
response	O
to	O
various	O
combinations	O
of	O
arginine	B
(	O
20mM	O
)	O
,	O
glucose	B
(	O
100	O
or	O
150	O
mg	O
.	O
per	O
100	O
ml	O
.	O
)	O
,	O
and	O
theophylline	B
(	O
10	O
mM	O
)	O
.	O

Glucose	B
,	O
alone	O
and	O
in	O
the	O
presence	O
of	O
theophylline	B
,	O
caused	O
subnormal	O
insulin	O
release	O
and	O
less	O
suppression	O
of	O
glucagon	O
release	O
in	O
the	O
diabectics	O
than	O
in	O
the	O
normals	O
.	O

Arginine	B
,	O
in	O
the	O
presence	O
of	O
glucose	B
and	O
theophylline	B
,	O
caused	O
excessive	O
glucagon	O
release	O
but	O
nearly	O
normal	O
insulin	O
release	O
in	O
the	O
diabetics	O
.	O

Arginine	B
,	O
in	O
the	O
absence	O
of	O
glucose	B
or	O
theophylline	B
,	O
caused	O
excessive	O
glucagon	O
release	O
in	O
the	O
diabetics	O
and	O
undetectable	O
insulin	O
release	O
in	O
either	O
diabetics	O
or	O
normals	O
.	O

Further	O
,	O
these	O
results	O
confirm	O
that	O
the	O
diabetic	O
Chinese	O
hamster	O
'	O
s	O
alpha	O
and	O
beta	O
cells	O
respond	O
normally	O
to	O
theophylline	B
,	O
but	O
are	O
relatively	O
insensitive	O
to	O
glucose	B
.	O

The	O
effects	O
of	O
ketamine	B
and	O
of	O
Innovar	B
anesthesia	O
on	O
digitalis	B
tolerance	O
in	O
dogs	O
.	O

In	O
a	O
comparison	O
of	O
digitalis	B
tolerance	O
in	O
dogs	O
anesthetized	O
with	O
ketamine	B
,	O
Innovar	B
Vet	I
,	O
or	O
pentobarbital	B
,	O
the	O
dosage	O
of	O
ouabain	B
needed	O
to	O
cause	O
ventricular	O
tachycardia	O
was	O
significantly	O
higher	O
,	O
as	O
was	O
the	O
LD50	O
of	O
ouabain	B
,	O
with	O
ketamine	B
or	O
Innovar	B
than	O
with	O
pentobarbital	B
.	O

Ventricular	O
tachycardia	O
induced	O
by	O
ouabain	B
was	O
generally	O
converted	O
to	O
sinus	O
rhythm	O
following	O
administration	O
of	O
Innovar	B
,	O
ketamine	B
,	O
or	O
droperidol	B
but	O
not	O
after	O
administration	O
of	O
fentayl	B
alone	O
or	O
after	O
pentobarbital	B
.	O

The	O
literature	O
provides	O
considerable	O
evidence	O
indicating	O
that	O
several	O
,	O
but	O
not	O
all	O
antihistaminics	B
,	O
are	O
indeed	O
analgesic	B
agents	I
and	O
some	O
are	O
analgesic	B
adjuvants	I
as	O
well	O
.	O

Those	O
for	O
which	O
effectiveness	O
is	O
reported	O
includes	O
diphenhydramine	B
,	O
hydroxyzine	B
,	O
orphenadrine	B
,	O
pyrilamine	B
,	O
phenyltoloxamine	B
,	O
promethazine	B
,	O
methdilazine	B
,	O
and	O
tripelennamine	B
.	O

[	O
The	O
GABA	O
-	O
ergic	O
system	O
and	O
brain	O
edema	O
]	O

[	O
Stimulation	O
by	O
cerulein	O
-	O
-	O
an	O
analog	O
of	O
the	O
octapeptide	O
cholecystokinin	O
-	O
-	O
of	O
3H	O
-	O
spiroperidol	O
binding	O
after	O
the	O
long	O
-	O
term	O
administration	O
of	O
neuroleptics	O
]	O

After	O
prolonged	O
administration	O
of	O
neuroleptics	B
the	O
displacing	O
effect	O
of	O
cerulein	B
,	O
an	O
analog	O
of	O
cholecystokinin	O
octapeptide	O
,	O
was	O
replaced	O
by	O
the	O
stimulant	O
action	O
on	O
3H	O
-	O
spiroperidol	O
binding	O
.	O

It	O
is	O
assumed	O
that	O
increased	O
interaction	O
between	O
3H	O
-	O
spiroperidol	O
and	O
high	O
affinity	O
binding	O
sites	O
for	O
apomorphine	B
on	O
dopamine2	O
-	O
and	O
serotonin2	O
-	O
receptors	O
underlies	O
the	O
antipsychotic	O
action	O
