The	O
fluoroquinolones	B
are	O
a	O
rapidly	O
growing	O
class	O
of	O
antibiotics	B
with	O
a	O
broad	O
spectrum	O
of	O
activity	O
against	O
gram	O
-	O
negative	O
and	O
some	O
gram	O
-	O
positive	O
aerobic	O
bacteria	O
.	O

These	O
agents	O
,	O
including	O
norfloxacin	B
,	O
ciprofloxacin	B
,	O
ofloxacin	B
,	O
enoxacin	B
,	O
and	O
lomefloxacin	B
,	O
have	O
been	O
extensively	O
studied	O
and	O
have	O
demonstrated	O
efficacy	O
and	O
safety	O
profiles	O
comparable	O
to	O
those	O
of	O
other	O
traditional	O
agents	O
for	O
the	O
treatment	O
of	O
complicated	O
or	O
uncomplicated	O
urinary	O
tract	O
infections	O
and	O
prostatitis	O
.	O

Advantages	O
offered	O
by	O
this	O
class	O
of	O
antibiotics	B
include	O
optimal	O
pharmacokinetics	O
,	O
effectiveness	O
against	O
multidrug	O
-	O
resistant	O
organisms	O
,	O
and	O
oral	O
administration	O
even	O
when	O
parenteral	O
antibiotics	B
are	O
generally	O
used	O
.	O

In	O
order	O
to	O
provide	O
information	O
for	O
the	O
appropriate	O
package	O
insert	O
labeling	O
of	O
progestin	O
-	O
only	O
oral	B
contraceptives	I
(	O
POC	B
)	O
in	O
the	O
US	O
,	O
a	O
comprehensive	O
review	O
was	O
made	O
of	O
norgestrel	B
(	O
0	O
.	O
075	O
mg	O
)	O
and	O
norethindrone	B
(	O
0	O
.	O
35	O
mg	O
)	O
,	O
with	O
the	O
clinical	O
differences	O
indicated	O
where	O
applicable	O
.	O

Antimicrobial	O
activity	O
of	O
Ganoderma	B
lucidum	I
extract	I
alone	O
and	O
in	O
combination	O
with	O
some	O
antibiotics	B
.	O

To	O
investigate	O
the	O
effects	O
of	O
antimicrobial	O
combinations	O
of	O
GL	B
with	O
four	O
kinds	O
of	O
antibiotics	B
(	O
ampicillin	B
,	O
cefazolin	B
,	O
oxytetracycline	B
and	O
chloramphenicol	B
)	O
,	O
the	O
fractional	O
inhibitory	O
concentration	O
index	O
(	O
FICI	O
)	O
was	O
determined	O
by	O
checkerboard	O
assay	O
for	O
each	O
strain	O
.	O

The	O
antimicrobial	O
combinations	O
of	O
GL	B
with	O
four	O
antibiotics	B
resulted	O
in	O
additive	O
effect	O
in	O
most	O
instances	O
,	O
synergism	O
in	O
two	O
instances	O
,	O
and	O
antagonism	O
in	O
two	O
instances	O
.	O

Synergism	O
was	O
observed	O
when	O
GL	B
was	O
combined	O
with	O
cefazolin	B
against	O
Bacillus	O
subtilis	O
and	O
Klebsiella	O
oxytoca	O
.	O

On	O
the	O
basis	O
of	O
the	O
estimated	O
number	O
of	O
regular	O
users	O
of	O
intravenous	O
amphetamine	B
in	O
Ontario	O
,	O
the	O
mortality	O
rate	O
in	O
such	O
users	O
is	O
at	O
least	O
four	O
times	O
as	O
high	O
as	O
in	O
the	O
general	O
population	O
of	O
the	O
same	O
age	O
,	O
and	O
is	O
comparable	O
to	O
that	O
in	O
alcoholics	O
and	O
heroin	B
addicts	O
.	O

However	O
,	O
the	O
absolute	O
number	O
of	O
alcohol	B
-	O
related	O
deaths	O
is	O
far	O
greater	O
than	O
the	O
number	O
of	O
deaths	O
in	O
amphetamine	B
or	O
heroin	B
users	O
.	O

Differential	O
regulation	O
of	O
tyrosine	O
phosphorylation	O
in	O
tumor	O
cells	O
by	O
contortrostatin	B
,	O
a	O
homodimeric	O
disintegrin	O
,	O
and	O
monomeric	O
disintegrins	O
echistatin	B
and	O
flavoridin	B
.	O

The	O
homodimeric	O
disintegrin	O
contortrostatin	B
was	O
compared	O
directly	O
to	O
the	O
monomeric	O
disintegrins	O
echistatin	B
and	O
flavoridin	B
for	O
the	O
ability	O
to	O
affect	O
protein	O
tyrosine	O
phosphorylation	O
in	O
tumor	O
cells	O
.	O

Echistatin	B
alone	O
had	O
no	O
effect	O
on	O
tyrosine	O
phosphorylation	O
in	O
T24	O
cells	O
,	O
but	O
dose	O
-	O
dependently	O
inhibits	O
the	O
effects	O
of	O
contortrostatin	B
when	O
both	O
are	O
added	O
simultaneously	O
.	O

Flavoridin	B
alone	O
was	O
found	O
to	O
have	O
no	O
effect	O
on	O
CAS	O
,	O
but	O
can	O
completely	O
block	O
contortrostatin	B
-	O
induced	O
phosphorylation	O
of	O
this	O
protein	O
in	O
MDA	O
-	O
MB	O
-	O
435	O
cells	O
.	O

Diethyl	B
pyrocarbonate	I
,	O
at	O
pH	O
7	O
.	O
0	O
,	O
was	O
used	O
to	O
chemically	O
modify	O
exposed	O
histidine	O
residues	O
on	O
toxin	B
A	I
.	O

Modification	O
of	O
toxin	B
A	I
with	O
diethyl	B
pyrocarbonate	I
abolished	O
both	O
its	O
cytotoxic	O
activity	O
and	O
the	O
ability	O
of	O
the	O
toxin	B
to	O
bind	O
Zn	O
-	O
Sepharose	O
gel	O
.	O

Treatment	O
of	O
toxin	B
A	I
with	O
[	O
(	O
14	O
)	O
C	O
]	O
-	O
diethyl	B
pyrocarbonate	I
revealed	O
concentration	O
dependent	O
labelling	O
of	O
histidine	O
residues	O
on	O
the	O
toxin	B
molecules	O
.	O

The	O
effects	O
of	O
diethyl	B
pyrocarbonate	I
could	O
be	O
reversed	O
by	O
hydroxylamine	B
treatment	O
.	O

Exposed	O
histidines	O
on	O
toxin	B
A	I
are	O
available	O
for	O
zinc	B
chelation	O
,	O
and	O
these	O
have	O
been	O
exploited	O
in	O
the	O
development	O
of	O
a	O
novel	O
