The fluoroquinolones are a rapidly growing class of antibiotics with a broad spectrum of activity against gram-negative and some gram-positive aerobic bacteria.
fluoroquinolones	4-19	antibiotics	52-62	false

These agents, including norfloxacin, ciprofloxacin, ofloxacin, enoxacin, and lomefloxacin, have been extensively studied and have demonstrated efficacy and safety profiles comparable to those of other traditional agents for the treatment of complicated or uncomplicated urinary tract infections and prostatitis.
norfloxacin	24-34	ciprofloxacin	37-49	false
norfloxacin	24-34	ofloxacin	52-60	false
norfloxacin	24-34	enoxacin	63-70	false
norfloxacin	24-34	lomefloxacin	77-88	false
ciprofloxacin	37-49	ofloxacin	52-60	false
ciprofloxacin	37-49	enoxacin	63-70	false
ciprofloxacin	37-49	lomefloxacin	77-88	false
ofloxacin	52-60	enoxacin	63-70	false
ofloxacin	52-60	lomefloxacin	77-88	false
enoxacin	63-70	lomefloxacin	77-88	false

Advantages offered by this class of antibiotics include optimal pharmacokinetics, effectiveness against multidrug-resistant organisms, and oral administration even when parenteral antibiotics are generally used.
antibiotics	36-46	antibiotics	180-190	false

In order to provide information for the appropriate package insert labeling of progestin-only oral contraceptives (POC) in the US, a comprehensive review was made of norgestrel (0.075 mg) and norethindrone (0.35 mg), with the clinical differences indicated where applicable.
progestin-only oral contraceptives	79-112	POC	115-117	false
progestin-only oral contraceptives	79-112	norgestrel	166-175	false
progestin-only oral contraceptives	79-112	norethindrone	192-204	false
POC	115-117	norgestrel	166-175	false
POC	115-117	norethindrone	192-204	false
norgestrel	166-175	norethindrone	192-204	false

Antimicrobial activity of Ganoderma lucidum extract alone and in combination with some antibiotics.
Ganoderma lucidum extract	26-50	antibiotics	87-97	false

To investigate the effects of antimicrobial combinations of GL with four kinds of antibiotics (ampicillin, cefazolin, oxytetracycline and chloramphenicol), the fractional inhibitory concentration index (FICI) was determined by checkerboard assay for each strain.
GL	60-61	antibiotics	82-92	false
GL	60-61	ampicillin	95-104	false
GL	60-61	cefazolin	107-115	false
GL	60-61	oxytetracycline	118-132	false
GL	60-61	chloramphenicol	138-152	false
antibiotics	82-92	ampicillin	95-104	false
antibiotics	82-92	cefazolin	107-115	false
antibiotics	82-92	oxytetracycline	118-132	false
antibiotics	82-92	chloramphenicol	138-152	false
ampicillin	95-104	cefazolin	107-115	false
ampicillin	95-104	oxytetracycline	118-132	false
ampicillin	95-104	chloramphenicol	138-152	false
cefazolin	107-115	oxytetracycline	118-132	false
cefazolin	107-115	chloramphenicol	138-152	false
oxytetracycline	118-132	chloramphenicol	138-152	false

The antimicrobial combinations of GL with four antibiotics resulted in additive effect in most instances, synergism in two instances, and antagonism in two instances.
GL	34-35	antibiotics	47-57	effect

Synergism was observed when GL was combined with cefazolin against Bacillus subtilis and Klebsiella oxytoca.
GL	28-29	cefazolin	49-57	effect

On the basis of the estimated number of regular users of intravenous amphetamine in Ontario, the mortality rate in such users is at least four times as high as in the general population of the same age, and is comparable to that in alcoholics and heroin addicts.
amphetamine	69-79	heroin	247-252	false

However, the absolute number of alcohol-related deaths is far greater than the number of deaths in amphetamine or heroin users.
alcohol	32-38	amphetamine	99-109	false
alcohol	32-38	heroin	114-119	false
amphetamine	99-109	heroin	114-119	false

Differential regulation of tyrosine phosphorylation in tumor cells by contortrostatin, a homodimeric disintegrin, and monomeric disintegrins echistatin and flavoridin.
contortrostatin	70-84	echistatin	141-150	false
contortrostatin	70-84	flavoridin	156-165	false
echistatin	141-150	flavoridin	156-165	false

